FARM,YEAR,COWS,LAND,MILK,LABOR,FEED,YIT,X1,X2,X3,X4,X11,X22,X33,X44,X12,X13,X14,X23,X24,X34,YEAR93,YEAR94,YEAR95,YEAR96,YEAR97,YEAR98 
3,97,25.3,13.5,140581,2.5,55810.657,11.8535391,0.2521044,0.1419788,0.459218,0.244321,0.0317783,0.010079,0.1054406,0.0298464,0.0357935,0.1157709,0.0615944,0.0651992,0.0346884,0.1121966,0,0,0,0,1,0
3,98,26.1,14.5,182037,2.5,93567.018,12.1119652,0.2832353,0.2134378,0.4592182,0.7610341,0.0401111,0.0227778,0.1054407,0.2895865,0.0604531,0.1300668,0.2155517,0.0980145,0.1624334,0.3494807,0,0,0,0,0,1
4,93,55.4,22,405042,2.5,196445.37,12.911746,1.0358796,0.6303316,0.4592182,1.5027406,0.5365233,0.198659,0.1054407,1.1291146,0.6529476,0.4756948,1.5566583,0.2894597,0.9472248,0.6900858,1,0,0,0,0,0
4,94,63.5,22,489134,2.5,212773.29,13.1003918,1.1723399,0.6303316,0.4592182,1.5825834,0.6871904,0.198659,0.1054407,1.2522852,0.7389629,0.5383598,1.8553257,0.2894597,0.9975523,0.7267511,0,1,0,0,0,0
4,95,63.4,22,526054,2.5,267761.486,13.1731591,1.1707639,0.6303316,0.4592181,1.8124528,0.685344,0.198659,0.1054406,1.6424926,0.7379694,0.5376359,2.1219542,0.2894596,1.1424462,0.8323111,0,0,1,0,0,0
4,98,68.8,23,543844,2.5,263764.34,13.2064177,1.2525037,0.6747833,0.4592181,1.7974122,0.7843828,0.2276663,0.1054407,1.6153454,0.8451687,0.5751724,2.2512656,0.3098728,1.2128639,0.8254043,0,0,0,0,0,1
4,96,63.7,23,545834,2.5,296933.696,13.2100702,1.1754846,0.6747833,0.4592183,1.9158651,0.690882,0.2276663,0.1054407,1.8352695,0.7931974,0.539804,2.2520698,0.3098729,1.2927938,0.8798003,0,0,0,1,0,0
4,97,68,23,570261,2.5,285700.761,13.2538494,1.2408077,0.6747833,0.4592182,1.8773012,0.7698019,0.2276663,0.1054407,1.7621298,0.8372764,0.5698015,2.3293698,0.3098728,1.2667716,0.8620908,0,0,0,0,1,0
5,94,18.7,11,103142,1.5,49301.876,11.543862,-0.0501765,-0.0628156,-0.0516078,0.1203183,0.0012588,0.0019729,0.0013317,0.0072383,0.0031519,0.0025895,-0.0060371,0.0032418,-0.0075579,-0.0062094,0,1,0,0,0,0
5,93,17.5,11,111642,1.5,49680.69,11.6230526,-0.1164991,-0.0628156,-0.0516074,0.1279725,0.006786,0.0019729,0.0013317,0.0081885,0.007318,0.0060122,-0.0149087,0.0032418,-0.0080387,-0.0066043,1,0,0,0,0,0
5,98,19.3,11.5,125715,1.5,55440.315,11.7417727,-0.0185949,-0.0183638,-0.051607,0.2376632,0.0001729,0.0001686,0.0013316,0.0282419,0.0003415,0.0009596,-0.0044193,0.0009477,-0.0043644,-0.0122651,0,0,0,0,0,1
5,95,18.2,11,126711,1.5,61834.968,11.7496642,-0.0772784,-0.0628156,-0.0516074,0.3468252,0.002986,0.0019729,0.0013317,0.0601439,0.0048543,0.0039881,-0.0268021,0.0032418,-0.021786,-0.0178988,0,0,1,0,0,0
5,97,19.9,11.5,144745,1.5,77293.83,11.8827289,0.0120197,-0.0183638,-0.051607,0.5699703,0.0000722,0.0001686,0.0013316,0.1624331,-0.0002207,-0.0006203,0.0068509,0.0009477,-0.0104668,-0.0294144,0,0,0,0,1,0
5,96,18.9,11,146585,1.5,69627.875,11.8953607,-0.0395381,-0.0628156,-0.0516077,0.4655212,0.0007816,0.0019729,0.0013317,0.108355,0.0024836,0.0020405,-0.0184058,0.0032418,-0.029242,-0.0240245,0,0,0,1,0,0
6,93,23,9,151536,2.5,64251.264,11.9285785,0.1567942,-0.2634863,0.4592182,0.3851576,0.0122922,0.0347125,0.1054407,0.0741732,-0.0413131,0.0720028,0.0603905,-0.1209977,-0.1014837,0.1768714,1,0,0,0,0,0
6,97,22.3,9,159389,2.5,76506.72,11.979103,0.1258867,-0.2634863,0.4592186,0.5597348,0.0079237,0.0347125,0.1054409,0.1566515,-0.0331694,0.0578095,0.0704632,-0.1209978,-0.1474824,0.2570406,0,0,0,0,1,0
6,94,24.5,9,161790,2.5,73452.66,11.9940545,0.2199731,-0.2634863,0.4592184,0.5189973,0.0241941,0.0347125,0.1054408,0.1346791,-0.0579599,0.1010157,0.1141655,-0.1209977,-0.1367487,0.2383331,0,1,0,0,0,0
6,96,22.9,9,168885,2.5,87482.43,12.0369733,0.1524369,-0.2634863,0.4592184,0.6937942,0.0116185,0.0347125,0.1054408,0.2406752,-0.040165,0.0700018,0.1057598,-0.1209978,-0.1828053,0.3186031,0,0,0,1,0,0
6,98,23.1,9,169946,2.5,79364.782,12.043236,0.1611326,-0.2634863,0.4592184,0.5964109,0.0129819,0.0347125,0.1054408,0.177853,-0.0424562,0.0739951,0.0961013,-0.1209978,-0.1571461,0.2738829,0,0,0,0,0,1
6,95,24.6,9,186542,2.5,86555.488,12.1364117,0.2240464,-0.2634863,0.459218,0.6831419,0.0250984,0.0347125,0.1054406,0.2333414,-0.0590332,0.1028862,0.1530555,-0.1209977,-0.1799985,0.3137111,0,0,1,0,0,0
7,93,30.3,10,132624,2,51988.608,11.7952733,0.4324477,-0.1581258,0.2360746,0.1733808,0.0935055,0.0125019,0.0278656,0.0150305,-0.0683811,0.1020899,0.0749781,-0.0373295,-0.027416,0.0409308,1,0,0,0,0,0
7,94,29.5,12.3,170163,2,76233.024,12.0445121,0.4056903,0.0488884,0.2360744,0.556151,0.0822923,0.001195,0.0278656,0.1546519,0.0198335,0.0957731,0.225625,0.0115413,0.0271893,0.131293,0,1,0,0,0,0
7,95,32.7,10,206356,2,100495.372,12.2373581,0.5086751,-0.1581258,0.2360746,0.8324679,0.1293752,0.0125019,0.0278656,0.3465014,-0.0804346,0.1200853,0.4234557,-0.0373295,-0.1316346,0.1965246,0,0,1,0,0,0
7,96,32.6,9,228979,2,105101.361,12.3413856,0.5056123,-0.2634863,0.2360751,0.8772814,0.1278219,0.0347125,0.0278657,0.3848113,-0.1332219,0.1193625,0.4435643,-0.0622025,-0.2311516,0.2071043,0,0,0,1,0,0
7,97,32.5,15.5,236043,2,116133.156,12.3717693,0.5025401,0.2801292,0.2360744,0.9770936,0.1262733,0.0392362,0.0278656,0.477356,0.1407761,0.1186369,0.4910287,0.0661313,0.2737124,0.2306668,0,0,0,0,1,0
7,98,34.1,15.5,236429,2,92680.168,12.3734032,0.5505974,0.2801292,0.2360749,0.7515107,0.1515787,0.0392362,0.0278657,0.2823842,0.1542384,0.1299822,0.4137798,0.0661315,0.2105201,0.1774128,0,0,0,0,0,1
8,93,26.4,11.2,147230,1.5,57272.47,11.8997513,0.294664,-0.0447971,-0.0516074,0.2701763,0.0434134,0.0010034,0.0013317,0.0364976,-0.0132001,-0.0152069,0.0796112,0.0023119,-0.0121031,-0.0139431,1,0,0,0,0,0
8,94,26.6,23,176428,1.5,66513.356,12.0806681,0.3022112,0.6747833,-0.0516076,0.419759,0.0456658,0.2276663,0.0013317,0.0880988,0.2039271,-0.0155964,0.1268559,-0.0348239,0.2832464,-0.0216627,0,1,0,0,0,0
8,97,27.2,12,192819,1.5,90432.111,12.1695072,0.324517,0.0241958,-0.0516074,0.7269556,0.0526556,0.0002927,0.0013317,0.2642322,0.0078519,-0.0167475,0.2359094,-0.0012487,0.0175893,-0.0375163,0,0,0,0,1,0
8,96,29.1,13.9,198484,1.5,98646.548,12.1984638,0.3920382,0.171178,-0.0516071,0.8138994,0.076847,0.0146509,0.0013316,0.3312161,0.0671083,-0.020232,0.3190797,-0.008834,0.1393217,-0.042003,0,0,0,1,0,0
8,95,28.7,13.9,205493,1.5,92882.836,12.2331672,0.3781971,0.171178,-0.0516074,0.7536951,0.0715165,0.0146509,0.0013317,0.2840281,0.064739,-0.0195178,0.2850453,-0.0088341,0.129016,-0.0388963,0,0,1,0,0,0
8,98,29.5,12,216856,1.5,125776.48,12.2869888,0.4056903,0.0241958,-0.0516075,1.0568626,0.0822923,0.0002927,0.0013317,0.5584792,0.009816,-0.0209367,0.4287589,-0.0012487,0.0255716,-0.0545421,0,0,0,0,0,1
9,93,62.1,35.2,430663,3,133505.53,12.9730812,1.150046,1.1003352,0.6415397,1.1164991,0.6613029,0.6053688,0.2057866,0.6232851,1.2654361,0.7378002,1.2840253,0.7059088,1.2285233,0.7162785,1,0,0,0,0,0
9,94,67.4,35.2,449932,3,197970.08,13.0168517,1.231945,1.1003352,0.6415401,1.5104721,0.7588443,0.6053688,0.2057868,1.140763,1.3555525,0.7903421,1.8608186,0.7059091,1.6620256,0.9690284,0,1,0,0,0,0
9,95,70,35.2,516969,3,193346.406,13.1557382,1.2697952,1.1003352,0.6415398,1.4868396,0.80619,0.6053688,0.2057867,1.105346,1.3972004,0.8146242,1.8879819,0.7059089,1.636022,0.9538669,0,0,1,0,0,0
9,96,76.7,35.2,572678,3,246824.218,13.2580789,1.3612017,1.1003352,0.6415396,1.7310326,0.926435,0.6053688,0.2057866,1.498237,1.4977782,0.8732649,2.3562846,0.7059087,1.9047161,1.110526,0,0,0,1,0,0
9,97,75.2,35.2,597944,3,244559.096,13.3012524,1.3414512,1.1003352,0.6415398,1.7218132,0.8997457,0.6053688,0.2057867,1.4823203,1.476046,0.8605944,2.3097284,0.7059089,1.8945717,1.1046117,0,0,0,0,1,0
9,98,82.3,35,608132,3,256023.572,13.3181472,1.4316711,1.0946372,0.6415399,1.7676257,1.0248411,0.5991153,0.2057867,1.5622503,1.5671604,0.9184741,2.5306587,0.7022534,1.9349088,1.1340024,0,0,0,0,0,1
10,93,31.7,15.5,230278,2,107539.826,12.3470426,0.4776167,0.2801292,0.2360746,0.9002175,0.1140588,0.0392362,0.0278656,0.4051957,0.1337944,0.1127532,0.4299589,0.0661314,0.2521772,0.2125185,1,0,0,0,0,0
10,94,33.6,15.7,233134,2,99081.95,12.3593687,0.5358261,0.2929498,0.2360746,0.8183035,0.1435548,0.0429098,0.0278656,0.3348103,0.1569702,0.1264949,0.4384683,0.069158,0.2397219,0.1931807,0,1,0,0,0,0
10,95,33.3,15.7,278649,2,112016.898,12.5377082,0.5268574,0.2929498,0.2360745,0.9410059,0.1387894,0.0429098,0.0278656,0.4427461,0.1543428,0.1243776,0.4957759,0.069158,0.2756675,0.2221475,0,0,1,0,0,0
10,98,33.5,16.6,283802,2,129413.712,12.5560321,0.5328454,0.3486918,0.2360746,1.0853705,0.1419621,0.060793,0.0278656,0.5890146,0.1857988,0.1257913,0.5783347,0.0823173,0.3784598,0.2562285,0,0,0,0,0,1
10,97,35,17.5,293232,2,127849.152,12.5887194,0.5766481,0.40149,0.2360745,1.0732073,0.1662615,0.0805971,0.0278656,0.5758869,0.2315184,0.1361319,0.6188629,0.0947815,0.430882,0.2533568,0,0,0,0,1,0
10,96,35.6,15.7,302065,2,133512.73,12.6183975,0.5936456,0.2929498,0.2360748,1.116553,0.1762076,0.0429098,0.0278657,0.6233453,0.1739084,0.1401448,0.6628368,0.0691581,0.327094,0.26359,0,0,0,1,0,0
11,94,20.3,10.2,123832,1.5,47179.992,11.7266811,0.0319209,-0.1383231,-0.0516073,0.0763261,0.0005095,0.0095666,0.0013317,0.0029128,-0.0044154,-0.0016473,0.0024364,0.0071385,-0.0105577,-0.003939,0,1,0,0,0,0
11,93,20,8.8,136605,1.5,51500.085,11.8248488,0.0170323,-0.2859591,-0.0516074,0.1639397,0.000145,0.0408863,0.0013317,0.0134381,-0.0048705,-0.000879,0.0027923,0.0147576,-0.04688,-0.0084605,1,0,0,0,0,0
11,95,22.3,10.2,147739,1.5,53924.735,11.9032025,0.1258867,-0.1383231,-0.0516074,0.2099455,0.0079237,0.0095666,0.0013317,0.0220386,-0.017413,-0.0064967,0.0264293,0.0071385,-0.0290403,-0.0108347,0,0,1,0,0,0
11,96,22.1,10.8,155143,1.5,62988.058,11.9521026,0.1168776,-0.0811647,-0.0516074,0.3653013,0.0068302,0.0032939,0.0013317,0.0667225,-0.0094863,-0.0060318,0.0426955,0.0041887,-0.0296496,-0.0188523,0,0,0,1,0,0
11,97,24,11.3,168044,1.5,60663.884,12.0319811,0.1993538,-0.0359081,-0.0516074,0.3277047,0.019871,0.0006447,0.0013317,0.0536952,-0.0071584,-0.0102881,0.0653292,0.0018531,-0.0117673,-0.016912,0,0,0,0,1,0
11,98,22.4,11.3,171030,1.5,64478.31,12.0495943,0.130361,-0.0359081,-0.0516072,0.3886851,0.008497,0.0006447,0.0013317,0.075538,-0.004681,-0.0067276,0.0506694,0.0018531,-0.013957,-0.020059,0,0,0,0,0,1
12,93,24.1,16.6,156198,2,62947.794,11.9588797,0.2035118,0.3486918,0.2360746,0.3646619,0.0207085,0.060793,0.0278656,0.0664892,0.0709629,0.048044,0.074213,0.0823173,0.1271546,0.0860874,1,0,0,0,0,0
12,94,27.2,16.6,189529,2,88699.572,12.1522973,0.324517,0.3486918,0.2360744,0.7076113,0.0526556,0.060793,0.0278656,0.2503568,0.1131564,0.0766102,0.2296319,0.0823172,0.2467383,0.1670489,0,1,0,0,0,0
12,95,29,16.6,206070,2,76658.04,12.2359712,0.3885958,0.3486918,0.2360748,0.5617107,0.0755034,0.060793,0.0278657,0.1577594,0.1355002,0.0917377,0.2182784,0.0823174,0.1958639,0.1326058,0,0,1,0,0,0
12,97,34.6,18,235459,2,90180.797,12.3692921,0.5651537,0.4296609,0.2360749,0.7241727,0.1596993,0.0923042,0.0278657,0.2622131,0.2428244,0.1334186,0.4092689,0.1014321,0.3111487,0.170959,0,0,0,0,1,0
12,96,33.7,16.6,236732,2,85696.984,12.374684,0.5387978,0.3486918,0.2360745,0.6731738,0.1451516,0.060793,0.0278656,0.2265815,0.1878744,0.1271964,0.3627046,0.0823172,0.2347302,0.1589192,0,0,0,1,0,0
12,98,36.2,18,237510,2,85978.62,12.377965,0.6103591,0.4296609,0.2360748,0.6764549,0.1862691,0.0923042,0.0278657,0.2287956,0.2622474,0.1440904,0.4128804,0.1014321,0.2906462,0.159694,0,0,0,0,0,1
13,93,21.4,10,142121,1.2,58980.215,11.8644341,0.0846909,-0.1581258,-0.274751,0.2995582,0.0035863,0.0125019,0.0377441,0.0448676,-0.0133918,-0.0232689,0.0253699,0.0434452,-0.0473679,-0.0823039,1,0,0,0,0,0
13,94,23.8,12.5,168558,1.2,69277.338,12.0350352,0.1909856,0.0650178,-0.2747509,0.460474,0.0182377,0.0021137,0.037744,0.1060182,0.0124175,-0.0524735,0.0879439,-0.0178637,0.029939,-0.1265157,0,1,0,0,0,0
13,95,30,13,221326,1.2,82554.598,12.307392,0.4224974,0.1042385,-0.2747508,0.6358161,0.089252,0.0054328,0.037744,0.202131,0.0440405,-0.1160815,0.2686306,-0.0286396,0.0662765,-0.174691,0,0,1,0,0,0
13,96,34.9,15,241494,1.2,106981.842,12.3945999,0.5737868,0.2473393,-0.2747512,0.8950153,0.1646157,0.0305884,0.0377441,0.4005262,0.1419201,-0.1576486,0.513548,-0.0679568,0.2213725,-0.2459066,0,0,0,1,0,0
13,97,40.8,15,291315,1.2,131383.065,12.5821604,0.7299821,0.2473393,-0.2747509,1.1004734,0.2664369,0.0305884,0.037744,0.6055209,0.1805533,-0.2005632,0.8033259,-0.0679567,0.2721904,-0.302356,0,0,0,0,1,0
13,98,45.6,17,414293,1.2,175660.232,12.9343287,0.8412077,0.3725025,-0.274751,1.3909078,0.3538152,0.069379,0.0377441,0.9673123,0.313352,-0.2311227,1.1700424,-0.1023454,0.5181166,-0.3821534,0,0,0,0,0,1
14,93,26,16,158383,2.3,55434.05,11.9727714,0.2793965,0.3118779,0.3758366,0.2375502,0.0390312,0.0486339,0.0706266,0.0282151,0.0871376,0.1050074,0.0663707,0.1172151,0.0740867,0.0892801,1,0,0,0,0,0
14,94,28.3,16.5,180938,2.3,85221.798,12.1059097,0.3641618,0.3426495,0.3758365,0.6676134,0.0663069,0.0587043,0.0706265,0.2228539,0.1247799,0.1368653,0.2431193,0.1287802,0.2287574,0.2509135,0,1,0,0,0,0
14,95,28.4,16,197301,2.3,89180.052,12.1924858,0.3676891,0.3118779,0.3758368,0.7130136,0.0675977,0.0486339,0.0706267,0.2541942,0.1146741,0.1381911,0.2621674,0.1172152,0.2223731,0.2679768,0,0,1,0,0,0
14,96,31.2,16,219867,2.3,105975.894,12.3007781,0.4617181,0.3118779,0.3758364,0.8855679,0.1065918,0.0486339,0.0706265,0.3921152,0.1439996,0.1735305,0.4088827,0.1172151,0.276189,0.3328286,0,0,0,1,0,0
14,97,35.9,17,245524,2.3,129636.672,12.41115,0.6020373,0.3725025,0.3758365,1.0870919,0.1812245,0.069379,0.0706265,0.5908844,0.2242604,0.2262676,0.6544699,0.14,0.4049444,0.4085688,0,0,0,0,1,0
14,98,38.5,17,266912,2.3,143598.656,12.4946743,0.6719582,0.3725025,0.3758366,1.1893785,0.2257639,0.069379,0.0706266,0.7073106,0.2503061,0.2525465,0.7992127,0.1400001,0.4430464,0.447012,0,0,0,0,0,1
15,93,18,9.1,61205,1.5,14811.61,11.0219842,-0.0883282,-0.2524365,-0.0516074,-1.0822325,0.0039009,0.0318621,0.0013317,0.5856136,0.0222973,0.0045584,0.0955917,0.0130276,0.2731949,0.0558512,1,0,0,0,0,0
15,95,19.7,9.1,62141,1.5,17337.339,11.0371613,0.0019186,-0.2524365,-0.0516077,-0.9247813,0.0000018,0.0318621,0.0013317,0.4276102,-0.0004843,-0.000099,-0.0017743,0.0130277,0.2334485,0.0477259,0,0,1,0,0,0
15,98,21.7,9.1,63811,1.5,28332.084,11.0636809,0.0986123,-0.2524365,-0.0516078,-0.4336489,0.0048622,0.0318621,0.0013317,0.0940257,-0.0248933,-0.0050892,-0.0427631,0.0130277,0.1094688,0.0223797,0,0,0,0,0,1
15,94,18.5,9.1,66821,1.5,15903.398,11.1097727,-0.0609293,-0.2524365,-0.0516071,-1.011111,0.0018562,0.0318621,0.0013316,0.5111727,0.0153808,0.0031444,0.0616063,0.0130275,0.2552413,0.0521805,0,1,0,0,0,0
15,96,21.1,9.1,72327,1.5,24663.507,11.1889528,0.070573,-0.2524365,-0.0516074,-0.5723191,0.0024903,0.0318621,0.0013317,0.1637746,-0.0178152,-0.0036421,-0.0403903,0.0130276,0.1444742,0.0295359,0,0,0,1,0,0
15,97,21,9.1,81533,1.5,33836.195,11.3087631,0.0658224,-0.2524365,-0.0516074,-0.2561127,0.0021663,0.0318621,0.0013317,0.0327969,-0.016616,-0.0033969,-0.016858,0.0130276,0.0646522,0.0132173,0,0,0,0,1,0
16,93,31.8,12,159331,2.5,61501.766,11.9787391,0.4807663,0.0241958,0.4592182,0.3414221,0.1155681,0.0002927,0.1054407,0.0582845,0.0116325,0.2207766,0.1641442,0.0111111,0.008261,0.1567872,1,0,0,0,0,0
16,94,33.7,14,169039,2.5,77081.784,12.0378847,0.5387978,0.1783465,0.4592183,0.5672232,0.1451516,0.0159037,0.1054407,0.1608711,0.0960927,0.2474259,0.3056186,0.0819,0.1011622,0.2604793,0,1,0,0,0,0
16,95,31.9,14,185685,2.5,79658.865,12.131807,0.483906,0.1783465,0.4592178,0.6001095,0.1170825,0.0159037,0.1054405,0.1800657,0.0863029,0.2222183,0.2903966,0.0818999,0.1070274,0.275581,0,0,1,0,0,0
16,96,33.5,14,251147,2.5,89910.626,12.4337937,0.5328454,0.1783465,0.4592181,0.7211723,0.1419621,0.0159037,0.1054406,0.2600448,0.0950311,0.2446922,0.3842734,0.0818999,0.1286185,0.3311754,0,0,0,1,0,0
16,97,34.3,15,276777,2.5,132299.406,12.5309674,0.5564454,0.2473393,0.4592185,1.1074238,0.1548157,0.0305884,0.1054408,0.6131937,0.1376308,0.25553,0.6162208,0.1135828,0.2739095,0.5085495,0,0,0,0,1,0
16,98,41.6,15,358037,2.5,159684.502,12.7883916,0.7494002,0.2473393,0.4592181,1.2955562,0.2808003,0.0305884,0.1054406,0.8392329,0.1853561,0.3441381,0.97089,0.1135827,0.320442,0.5949428,0,0,0,0,0,1
17,93,14.1,9.6,56604,2,27396.336,10.9438349,-0.3325252,-0.1989478,0.2360746,-0.4672345,0.0552865,0.0197901,0.0278656,0.109154,0.0661551,-0.0785008,0.1553673,-0.0469665,0.0929553,-0.1103022,1,0,0,0,0,0
17,94,14.4,9.6,63047,2,27677.633,11.0516358,-0.3114718,-0.1989478,0.2360746,-0.4570192,0.0485073,0.0197901,0.0278656,0.1044333,0.0619666,-0.0735306,0.1423486,-0.0469665,0.0909229,-0.1078906,0,1,0,0,0,0
17,95,16.7,9.6,75368,2,32257.504,11.2301381,-0.1632913,-0.1989478,0.2360754,-0.3038931,0.013332,0.0197901,0.0278658,0.0461755,0.0324864,-0.0385491,0.0496231,-0.0469667,0.0604589,-0.0717417,0,0,1,0,0,0
17,96,18.2,9.6,84677,2,44201.394,11.3465993,-0.0772784,-0.1989478,0.2360746,0.0111125,0.002986,0.0197901,0.0278656,0.0000617,0.0153744,-0.0182435,-0.0008588,-0.0469665,-0.0022108,0.0026234,0,0,0,1,0,0
17,98,19,9,101871,2,54500.985,11.5314626,-0.034261,-0.2634863,0.2360732,0.220575,0.0005869,0.0347125,0.0278653,0.0243267,0.0090273,-0.0080881,-0.0075571,-0.0622021,-0.0581185,0.0520718,0,0,0,0,0,1
17,97,20.2,12.8,103247,2,50487.783,11.5448795,0.0269826,0.0887343,0.2360746,0.1440876,0.000364,0.0039369,0.0278656,0.0103806,0.0023943,0.0063699,0.0038879,0.0209479,0.0127855,0.0340154,0,0,0,0,1,0
18,93,14.5,5,70498,1,27564.718,11.1633396,-0.3045513,-0.851273,-0.4570725,-0.4611072,0.0463758,0.3623328,0.1044577,0.1063099,0.2592563,0.1392021,0.1404308,0.3890935,0.3925281,0.2107594,1,0,0,0,0,0
18,94,15.8,12.4,76068,1,28981.908,11.239383,-0.2186901,0.0569856,-0.4570725,-0.410972,0.0239127,0.0016237,0.1044577,0.084449,-0.0124622,0.0999572,0.0898755,-0.0260466,-0.0234195,0.187844,0,1,0,0,0,0
18,95,16.3,12.7,86609,1,34556.991,11.369159,-0.1875349,0.0808911,-0.4570725,-0.2350339,0.0175847,0.0032717,0.1044577,0.0276205,-0.0151699,0.085717,0.0440771,-0.0369731,-0.0190122,0.1074276,0,0,1,0,0,0
18,96,16.7,12.7,87503,1,33076.134,11.3794284,-0.1632913,0.0808911,-0.4570725,-0.2788318,0.013332,0.0032717,0.1044577,0.0388736,-0.0132088,0.074636,0.0455308,-0.0369731,-0.022555,0.1274464,0,0,0,1,0,0
18,97,16.9,5.9,105190,1,46704.36,11.5635235,-0.1513864,-0.6857585,-0.4570725,0.0661937,0.0114589,0.2351324,0.1044577,0.0021908,0.1038145,0.0691946,-0.0100208,0.3134414,-0.0453929,-0.0302553,0,0,0,0,1,0
18,98,18.7,6,120343,1,57403.611,11.6981013,-0.0501765,-0.6689514,-0.4570725,0.2724634,0.0012588,0.223748,0.1044577,0.0371182,0.0335656,0.0229343,-0.0136713,0.3057593,-0.1822648,-0.1245355,0,0,0,0,0,1
19,93,17.3,15.1,68656,1,29453.424,11.1368638,-0.1279935,0.2539839,-0.4570725,-0.3948336,0.0081912,0.0322539,0.1044577,0.0779468,-0.0325083,0.0585023,0.0505361,-0.1160891,-0.1002814,0.1804676,1,0,0,0,0,0
