,Company_name,Company_ID,Big3Share,Position,Revenue,Assets,Employees,MarketCap,Exchange,TypeEnt,logMarketCap,logRevenue,logEmployees,logAssets
40,"NATERA, INC.",US010894487,2.46,10,190355.0,265240.0,716.0,689396.0,NASDAQ National Market,Industrial company,5.838468759224282,5.279564288788372,2.8549130223078554,5.423639019239971
43,UNITIL CORP,US020381573,13.64,1,426800.0,1046400.0,500.0,563857.0,New York Stock Exchange (NYSE),Industrial company,5.751168976349706,5.630224410752432,2.6989700043360187,6.019697730980192
45,LAKE SUNAPEE BANK GROUP,US020430695,0.83,11,56540.0,1518521.0,288.0,135700.0,NASDAQ National Market,Bank,5.132579847659737,4.752355804153501,2.459392487759231,6.181420802260907
46,BOTTOMLINE TECHNOLOGIES INC,US020433924,19.28,1,330889.0,688484.0,1500.0,1026008.0,NASDAQ National Market,Industrial company,6.011150747074345,5.519682329811086,3.1760912590556813,5.837893851938691
47,EXACT SCIENCES CORP,US020478229,17.52,1,39437.0,364030.0,677.0,635647.0,NASDAQ National Market,Industrial company,5.803216001634777,4.5959038704426,2.8305886686851442,5.561137175675386
48,PC CONNECTION INC,US020513618,5.08,7,2573973.0,639074.0,2155.0,609787.0,NASDAQ National Market,Industrial company,5.785178161438929,6.410603987007952,3.3334472744967503,5.805551149130123
49,REGAL ENTERTAINMENT GROUP,US020556934,7.240000000000001,2,3127300.0,2601600.0,25915.0,2826736.0,New York Stock Exchange (NYSE),Industrial company,6.451285249912569,6.495169544848667,4.41355121317555,6.415240523913974
52,"CONSOLIDATED COMMUNICATIONS HOLDINGS, INC.",US020636095,10.49,2,775737.0,2138526.0,1783.0,1245100.0,NASDAQ National Market,Industrial company,6.095204233121819,5.889714506298651,3.2511513431753545,6.330114534736803
53,RPM INTERNATIONAL INC.,US020642224,19.68,1,4594550.0,4694240.0,12864.0,6710037.0,New York Stock Exchange (NYSE),Industrial company,6.82672491493077,6.6622429820796745,4.109376031404376,6.67156528978135
57,SOLARCITY CORPORATION,US020781046,7.15,4,399619.0,7287118.0,15273.0,2188400.0,NASDAQ National Market,Industrial company,6.340126706105432,5.601646128700568,4.183924351757001,6.862555802094293
59,MERCHANTS BANCSHARES INC.,US030287342,6.93,1,60526.0,2021257.0,307.0,210887.0,NASDAQ National Market,Bank,5.324049808747177,4.781941973510619,2.4871383754771865,6.305621536962007
60,CASELLA WASTE SYSTEMS INC,US030338873,10.54,3,546500.0,633669.0,1900.0,288548.0,NASDAQ National Market,Industrial company,5.460218068448965,5.737590166285721,3.278753600952829,5.801862461333459
64,"XPO LOGISTICS, INC.",US030450326,10.5,5,7623200.0,12643200.0,89000.0,3229789.0,New York Stock Exchange (NYSE),Industrial company,6.509174151083771,6.882137313939908,4.949390006644912,7.101857008001352
65,"IMPERVA, INC.",US030460133,12.4,1,234298.0,397669.0,923.0,1205919.0,New York Stock Exchange (NYSE),Industrial company,6.081318137792165,5.3697685814152685,2.965201701025912,5.599521737192468
68,"DCP MIDSTREAM PARTNERS, LP",US030567133,0.0,147,1898000.0,5477000.0,628.0,3902407.0,New York Stock Exchange (NYSE),Industrial company,6.591332561992473,6.278296208091274,2.797959643737196,6.738542740928785
71,TUTOR PERINI CORPORATION,US041717070,10.81,2,4920472.0,4036677.0,10626.0,1054573.0,New York Stock Exchange (NYSE),Industrial company,6.023076647991919,6.6920067647924375,4.026369811573718,6.6060240001584605
72,L.S. STARRETT COMPANY (THE),US041866480,0.41,18,241550.0,212272.0,1804.0,78972.0,New York Stock Exchange (NYSE),Industrial company,4.897473136847621,5.383007041822538,3.256236533205923,5.326892711794524
73,PERKINELMER INC,US042052042,16.79,1,2262359.0,4166295.0,8000.0,5995584.0,New York Stock Exchange (NYSE),Industrial company,6.777831491959423,6.354561521609776,3.9030899869919438,6.619750017492743
74,UNIFIRST CORP,US042103460,18.290000000000006,3,1456605.0,1533237.0,12000.0,1771177.0,New York Stock Exchange (NYSE),Industrial company,6.248261963946832,6.163341796397246,4.079181246047625,6.185609291081885
75,EVERSOURCE ENERGY,US042147929,20.71,1,7954827.0,30580309.0,7943.0,17449559.0,New York Stock Exchange (NYSE),Industrial company,7.241784455576765,6.900630739135039,3.899984562549391,7.485441869445069
76,TJX COMPANIES INC,US042207613,16.37,1,30944938.0,11499482.0,216000.0,50768826.0,New York Stock Exchange (NYSE),Industrial company,7.705597120709768,7.490589616895213,5.334453751150931,7.060678277778971
78,AMERICAN SCIENCE & ENGINEERING INC,US042240991,21.78,1,126750.0,193108.0,311.0,225791.0,NASDAQ National Market,Industrial company,5.353706627012176,5.102947968005374,2.4927603890268375,5.285800265927955
79,SEABOARD CORP,US042260388,3.22,6,5594000.0,4431000.0,10772.0,3657969.0,NYSE MKT,Industrial company,6.563240020663092,6.747722462035508,4.032296344739473,6.646501750031612
80,CABOT CORP,US042271897,18.73,1,2871000.0,3075000.0,4600.0,2841020.0,New York Stock Exchange (NYSE),Industrial company,6.453474291047493,6.458033192496506,3.662757831681574,6.4878451201114355
81,TERADYNE INC,US042272148,18.700000000000006,1,1639578.0,2548674.0,4100.0,4010753.0,New York Stock Exchange (NYSE),Industrial company,6.603225917020274,6.214732082282484,3.6127838567197355,6.406314288566389
82,MKS INSTRUMENTS INC,US042277512,18.7,1,813524.0,1273347.0,2181.0,2185655.0,NASDAQ National Market,Industrial company,6.339581610760574,5.910370369705351,3.3386556655787003,6.1049467694428845
84,"SKYWORKS SOLUTIONS, INC.",US042302115,19.67,1,3258400.0,3719400.0,6700.0,12650836.0,NASDAQ National Market,Industrial company,7.102119225764034,6.513004397077942,3.8260748027008264,6.570472886735217
85,UFP TECHNOLOGIES INC,US042314970,2.66,13,138850.0,119950.0,722.0,152772.0,NASDAQ National Market,Industrial company,5.1840437641887025,5.142545884086276,2.858537197569639,5.0790002523038495
86,ANALOG DEVICES INC,US042348234,17.16,1,3435092.0,7058777.0,9700.0,17961522.0,NASDAQ National Market,Industrial company,7.254343134569334,6.535938372998854,3.9867717342662448,6.848729461935456
89,ANALOGIC CORP,US042454372,19.6,1,540291.0,624579.0,1679.0,1025109.0,NASDAQ National Market,Industrial company,6.010770046447095,5.7326277332565905,3.225050696138049,5.795587378009069
90,STATE STREET CORPORATION,US042456637,10.55,1,10235000.0,245192000.0,32356.0,25074900.0,New York Stock Exchange (NYSE),Bank,7.39923920970702,7.010087846998524,4.509954826744245,8.389506296137835
93,"CENTURY BANCORP, INC.",US042498617,5.51,2,85952.0,3947441.0,374.0,152959.0,NASDAQ National Market,Bank,5.184575035654426,4.934255986652603,2.5728716022004803,6.596315647593335
94,KLA TENCOR CORP,US042564110,18.97,1,2814049.0,4826012.0,5880.0,11365155.0,NASDAQ National Market,Industrial company,7.0555753630865645,6.449331655374611,3.7693773260761385,6.683588397458243
95,XCERRA CORPORATION,US042594045,12.06,1,397978.0,387475.0,1722.0,348401.0,NASDAQ National Market,Industrial company,5.542079392873681,5.599859065182532,3.236033147117636,5.588243686939619
97,"DESTINATION XL GROUP, INC.",US042623104,5.6800000000000015,10,442221.0,274347.0,2567.0,241508.0,NASDAQ National Market,Industrial company,5.382931521415937,5.645639362321322,3.4094258686714434,5.43830021552328
98,KEY ENERGY SERVICES INC,US042648081,9.04,3,792326.0,1327798.0,3800.0,49104.0,New York Stock Exchange (NYSE),Industrial company,4.691116871087748,5.898903907436445,3.57978359661681,6.123132010153936
99,EMC CORP,US042680009,14.99,1,24704000.0,46612000.0,72000.0,54357464.0,New York Stock Exchange (NYSE),Industrial company,7.735259186903403,7.392767278655642,4.857332496431268,7.668497737781955
100,"WORLD WRESTLING ENTERTAINMENT, INC.",US042693383,7.79,4,658768.0,409145.0,840.0,599962.0,New York Stock Exchange (NYSE),Industrial company,5.778123744195418,5.818732494928572,2.9242792860618816,5.611877248202625
101,BOSTON SCIENTIFIC CORP,US042695240,18.130000000000006,1,7477000.0,18133000.0,25000.0,30638054.0,New York Stock Exchange (NYSE),Industrial company,7.486261177282335,6.873727380646679,4.3979400086720375,7.258469661550693
102,COGNEX CORP,US042713778,15.92,1,450557.0,887756.0,1305.0,3658952.0,NASDAQ National Market,Industrial company,6.563356712227284,5.653749741418384,3.1156105116742996,5.948293616212274
104,PANERA BREAD CO,US042723701,16.82,1,2681580.0,1440839.0,23800.0,4918980.0,NASDAQ National Market,Industrial company,6.691875056772119,6.42839075786828,4.376576957056512,6.158615455263701
105,IMMUNOGEN INC,US042726691,16.939999999999998,1,85541.0,313823.0,317.0,492856.0,NASDAQ National Market,Industrial company,5.692720047998182,4.932174322983492,2.5010592622177517,5.49668476973861
108,ASPEN TECHNOLOGY INC,US042739697,17.31,1,440401.0,315361.0,1372.0,3110962.0,NASDAQ National Market,Industrial company,6.492894706289962,5.643848296435021,3.137354111370733,5.498807984071953
109,MERCURY SYSTEMS INC,US042741391,18.01,1,234847.0,389988.0,629.0,849810.0,NASDAQ National Market,Industrial company,5.929321837272755,5.370785016757857,2.798650645445269,5.5910512439137765
111,VICOR CORP,US042742817,10.62,2,220194.0,157545.0,985.0,276321.0,NASDAQ National Market,Industrial company,5.441413891929001,5.3428054808373995,2.9934362304976116,5.197404624540376
112,ABIOMED INC,US042743260,18.25,1,230311.0,338367.0,589.0,4262402.0,NASDAQ National Market,Industrial company,6.629654406933458,5.362314681017705,2.7701152947871015,5.529388000889602
113,PROGRESS SOFTWARE CORP,US042746201,1.96,9,377554.0,877123.0,1766.0,1328369.0,NASDAQ National Market,Industrial company,6.123318731962458,5.576979075766077,3.24699069924155,5.943060499267578
114,PAREXEL INTERNATIONAL CORP,US042776269,20.73,1,2330274.0,1865021.0,18660.0,3318181.0,NASDAQ National Market,Industrial company,6.5209000722119255,6.367406989563268,4.270911639410481,6.270683726296328
115,PEGASYSTEMS INC,US042787865,7.280000000000001,2,682695.0,627758.0,3333.0,2026764.0,NASDAQ National Market,Industrial company,6.306803181616166,5.834226722127551,3.52283531366053,5.797792255966748
117,FORRESTER RESEARCH INC,US042797789,11.67,2,313726.0,318991.0,1345.0,661738.0,NASDAQ National Market,Industrial company,5.820686074520366,5.496550512285948,3.128722284338427,5.503778430061959
118,"LEMAITRE VASCULAR, INC.",US042825458,6.99,2,78352.0,90704.0,339.0,269991.0,NASDAQ National Market,Industrial company,5.431349287434977,4.8940500866741425,2.530199698203082,4.957626439646895
122,PTC INC.,US042866152,17.27,1,1255242.0,2209913.0,5982.0,4120680.0,NASDAQ National Market,Industrial company,6.6149688897902434,6.098727462177891,3.7768464086952993,6.344375176687984
123,INDEPENDENT BANK CORP,US042870273,19.130000000000006,1,350000.0,,1500.0,1298025.0,NASDAQ National Market,Bank,6.113283057069505,5.544068044350276,3.1760912590556813,
124,HAEMONETICS CORP,US042882273,18.98,1,910373.0,1485417.0,3383.0,1423735.0,New York Stock Exchange (NYSE),Industrial company,6.153429161528565,5.959219368861085,3.5293019977879805,6.171848389933655
125,STAPLES INC,US042896127,21.89,1,21059000.0,10172000.0,75371.0,5629162.0,NASDAQ National Market,Industrial company,6.750443747273399,7.323437744589586,4.877204277399969,7.007406351503671
126,HOLOGIC INC,US042902449,16.77,1,2705000.0,7670100.0,5290.0,9594533.0,NASDAQ National Market,Industrial company,6.982023840930912,6.432167269442588,3.7234556720351857,6.884801026160856
128,"WATTS WATER TECHNOLOGIES, INC.",US042916536,12.509999999999998,2,1467700.0,1692800.0,5000.0,1597530.0,New York Stock Exchange (NYSE),Industrial company,6.203449022518777,6.166637294231805,3.6989700043360187,6.2286056503550915
130,CBS CORPORATION,US042949533,14.87,2,13886000.0,23765000.0,16260.0,22788236.0,New York Stock Exchange (NYSE),Industrial company,7.357710708457409,7.142577160920535,4.211120541258049,7.375937818630777
131,AMERICAN SUPERCONDUCTOR CORP,US042959321,1.6,5,70530.0,133825.0,318.0,146743.0,NASDAQ National Market,Industrial company,5.166557393504788,4.8483738838446016,2.5024271199844326,5.126537252055469
132,BOSTON PRIVATE FINANCIAL HOLDINGS INC,US042976299,19.2,1,346939.0,7542508.0,890.0,1042580.0,NASDAQ National Market,Bank,6.018109389521608,5.540253122363746,2.949390006644913,6.877515779483952
133,AVID TECHNOLOGY INC,US042977748,9.9,2,505595.0,247926.0,1522.0,233865.0,NASDAQ National Market,Industrial company,5.368965230598203,5.70380277041051,3.182414652434554,5.3943220736190955
135,CLEAN HARBORS INC,US042997780,14.499999999999998,1,3275137.0,3431428.0,12900.0,2958222.0,New York Stock Exchange (NYSE),Industrial company,6.471030762547019,6.515229471381111,4.110589710299249,6.535474890730479
136,VERTEX PHARMACEUTICALS INCORPORATED,US043039129,17.400000000000002,1,1032336.0,2498587.0,1950.0,22355480.0,NASDAQ National Market,Industrial company,7.349383999147613,6.013821072481286,3.290034611362518,6.397694476036805
137,"BROOKS AUTOMATION, INC.",US043040660,18.55,1,552708.0,759654.0,1426.0,757524.0,NASDAQ National Market,Industrial company,5.879396396781539,5.742495750687639,3.154119525515847,5.880615828982916
139,CABOT OIL & GAS CORPORATION,US043072771,20.15,1,1357150.0,5261899.0,459.0,10978657.0,New York Stock Exchange (NYSE),Industrial company,7.0405492168752595,6.132627851029007,2.661812685537261,6.721142507724666
140,GARTNER INC,US043099750,19.49,1,2163056.0,2174686.0,7834.0,8444056.0,New York Stock Exchange (NYSE),Industrial company,6.926551104835801,6.335067763163624,3.8939835672118472,6.33739655861853
143,"CYNOSURE, INC.",US043125110,16.37,1,339462.0,534610.0,857.0,1137793.0,NASDAQ National Market,Industrial company,6.056063257546778,5.530791165615117,2.932980821923198,5.728037078072222
146,SEACHANGE INTERNATIONAL INC,US043197974,7.25,4,106992.0,177669.0,660.0,119883.0,NASDAQ National Market,Industrial company,5.078757602367898,5.029351305855825,2.8195439355418688,5.249611657949331
148,"MERRIMACK PHARMACEUTICALS, INC.",US043210530,19.48,1,89258.0,234880.0,426.0,805946.0,NASDAQ National Market,Industrial company,5.906305944177712,4.950647151396568,2.629409599102719,5.370846038235976
149,AFFILIATED MANAGERS GROUP INC,US043218510,18.81,1,3000000.0,,3500.0,9281416.0,New York Stock Exchange (NYSE),Bank,6.967614238511304,6.477121254719663,3.5440680443502757,
150,ANSYS INC,US043219960,18.94,1,942753.0,2729904.0,2800.0,7840915.0,NASDAQ National Market,Industrial company,6.894366745881356,5.974397923078584,3.4471580313422194,6.436147374878364
155,BOSTON BEER CO INC,US043284048,12.69,2,959934.0,645400.0,1429.0,1491924.0,New York Stock Exchange (NYSE),Industrial company,6.1737467003341715,5.982241374267531,3.1550322287909704,5.809828961067886
157,FIRST MARBLEHEAD CORP,US043295311,5.1099999999999985,7,37500.0,,375.0,42606.0,New York Stock Exchange (NYSE),Bank,4.629470763032389,4.574031267727719,2.574031267727719,
158,HARVARD BIOSCIENCE INC,US043306140,8.870000000000003,1,108664.0,120217.0,462.0,120606.0,NASDAQ National Market,Industrial company,5.081368913957313,5.036085687684209,2.6646419755561257,5.079965886004065
160,ENTERPRISE BANCORP INC,US043308902,4.99,2,112500.0,,375.0,244481.0,NASDAQ National Market,Bank,5.388245113292822,5.051152522447381,2.574031267727719,
162,MEDICINES CO,US043324394,20.73,1,309007.0,1795516.0,614.0,2639628.0,NASDAQ National Market,Industrial company,6.421542726517255,5.48996831769972,2.788168371141168,6.25418927951542
163,FAIRCHILD SEMICONDUCTOR INTERNATIONAL INC,US043363001,19.06,1,1370200.0,1585900.0,6379.0,2281392.0,NASDAQ National Market,Industrial company,6.358199914303407,6.1367839631833645,3.8047526021504603,6.200275799111851
164,SONUS NETWORKS INC,US043387074,13.61,1,249034.0,312891.0,1049.0,453265.0,NASDAQ National Market,Industrial company,5.656352185209766,5.396258644301982,3.020775488193558,5.495393071274826
165,"ATHENAHEALTH, INC",US043387530,11.54,3,924728.0,1118662.0,4668.0,4946002.0,NASDAQ National Market,Industrial company,6.694254287639671,5.966014007906053,3.6691308473733324,6.048698885716074
167,LIONBRIDGE TECHNOLOGIES INC,US043398462,11.69,3,559984.0,298268.0,6000.0,274535.0,NASDAQ National Market,Industrial company,5.438597719780263,5.748175618415165,3.778151250383644,5.474606662115351
168,"XURA, INC.",US043398741,13.28,1,477305.0,606352.0,2300.0,620960.0,NASDAQ National Market,Industrial company,5.7930636253959396,5.678795983834159,3.361727836017593,5.782724814391445
169,BROOKLINE BANCORP INC,US043402944,19.75,1,214549.0,6042338.0,675.0,816619.0,NASDAQ National Market,Bank,5.912019480288377,5.331526494652918,2.829303772831025,6.781205015447217
170,"IRONWOOD PHARMACEUTICALS, INC.",US043404176,15.079999999999998,1,149555.0,619121.0,474.0,1590560.0,NASDAQ National Market,Industrial company,6.201550056453396,5.174800937167472,2.6757783416740852,5.791775535121682
171,"PTC THERAPEUTICS, INC.",US043416587,18.28,1,36766.0,365281.0,320.0,268638.0,NASDAQ National Market,Industrial company,5.429167445499613,4.5654463828625165,2.505149978319906,5.5626270830803675
172,AKAMAI TECHNOLOGIES INC,US043432319,17.95,1,2197448.0,4181684.0,6084.0,9517074.0,NASDAQ National Market,Industrial company,6.978503446180926,6.341918606803711,3.7841892053809607,6.621351211111617
173,IPG PHOTONICS CORPORATION,US043444218,10.87,5,901265.0,1453429.0,3740.0,4590712.0,NASDAQ National Market,Industrial company,6.6618800479971085,5.95485250586953,3.5728716022004803,6.162393821341159
174,"NXSTAGE MEDICAL, INC.",US043454702,13.53,1,336123.0,306874.0,3600.0,1213044.0,NASDAQ National Market,Industrial company,6.08387655404929,5.526498231098824,3.5563025007672873,5.486960094248504
176,CIRCOR INTERNATIONAL INC,US043477276,20.09,1,656267.0,669915.0,2500.0,923682.0,New York Stock Exchange (NYSE),Industrial company,5.965522480510549,5.8170805665634475,3.3979400086720375,5.826019702144431
177,TECHTARGET INC,US043483216,4.760000000000002,6,111826.0,177859.0,696.0,258063.0,NASDAQ National Market,Industrial company,5.411725741670095,5.04854279052491,2.842609239610562,5.250075846195642
180,BERKSHIRE HILLS BANCORP INC,US043510455,13.95,1,267304.0,7831915.0,1221.0,863185.0,New York Stock Exchange (NYSE),Bank,5.9361038847867285,5.427005457690057,3.0867156639448825,6.893867965410086
181,AMERESCO INC,US043512838,3.66,2,630832.0,723440.0,1037.0,136432.0,New York Stock Exchange (NYSE),Industrial company,5.134916245639225,5.799913715523907,3.015778756389041,5.859402517833138
182,VIRTUSA CORPORATION,US043512883,15.94,1,478986.0,489737.0,9247.0,1049372.0,NASDAQ National Market,Industrial company,6.020929471899937,5.680322819862158,3.966000857628784,5.689962916533649
184,"FIVE STAR QUALITY CARE, INC.",US043516029,8.78,1,1365410.0,531770.0,24800.0,99933.0,New York Stock Exchange (NYSE),Industrial company,4.999708925176167,6.13526307921649,4.394451680826216,5.725723832803816
186,INSULET CORPORATION,US043523891,15.38,1,324225.0,275126.0,647.0,1727362.0,NASDAQ National Market,Industrial company,6.237383361382001,5.510846498925352,2.8109042806687006,5.439531634093681
188,"ASPEN AEROGELS, INC.",US043559972,4.83,11,122518.0,140074.0,274.0,98743.0,New York Stock Exchange (NYSE),Industrial company,4.994506317775689,5.088199898711966,2.437750562820388,5.146357530686048
189,"IMPRIVATA, INC.",US043560178,4.05,11,119120.0,120757.0,452.0,339389.0,New York Stock Exchange (NYSE),Industrial company,5.530697762210537,5.07598468474412,2.655138434811382,5.081912315185529
190,"MOMENTA PHARMACEUTICALS, INC.",US043561634,19.88,1,89650.0,421040.0,258.0,790003.0,NASDAQ National Market,Industrial company,5.897628740506861,4.952550293898201,2.41161970596323,5.624323357009221
192,ALERE INC,US043565120,9.77,1,3000000.0,,7500.0,3671953.0,New York Stock Exchange (NYSE),Industrial company,6.564897113713497,6.477121254719663,3.8750612633917,
197,"RADIANT LOGISTICS, INC.",US043625550,4.43,5,502665.0,308706.0,733.0,164375.0,NYSE MKT,Industrial company,5.215835765833833,5.701278646843265,2.8651039746411278,5.489545070497866
198,BANC OF CALIFORNIA INC,US043639825,5.89,2,393112.0,8235555.0,1679.0,979393.0,New York Stock Exchange (NYSE),Bank,5.990956995667254,5.594516301144534,3.225050696138049,6.915692871910821
201,"TELADOC, INC.",US043705970,5.199999999999998,6,77384.0,229737.0,600.0,437822.0,New York Stock Exchange (NYSE),Industrial company,5.641297580526905,4.888651174765289,2.7781512503836434,5.361230945572837
203,"GLOBUS MEDICAL, INC.",US043744954,10.01,2,544753.0,834100.0,1200.0,2294159.0,New York Stock Exchange (NYSE),Industrial company,6.3606235140141,5.736199630620649,3.0791812460476247,5.921218121194951
204,"TUMI HOLDINGS, INC.",US043799139,15.58,1,547655.0,611944.0,1577.0,1811033.0,New York Stock Exchange (NYSE),Industrial company,6.257926363945935,5.738507057060639,3.197831693328903,5.786711680962952
206,"TRUECAR, INC.",US043807511,8.52,4,259838.0,302374.0,574.0,622426.0,NASDAQ National Market,Industrial company,5.794087725724384,5.414702664764334,2.7589118923979736,5.48054444508982
207,CHINA XD PLASTICS COMPANY LIMITED,US043836208,0.0,116,999193.0,1751982.0,1647.0,190708.0,NASDAQ National Market,Industrial company,5.280368911624828,5.999649382860052,3.2166935991697545,6.243529639879532
208,ROSETTA STONE INC,US043837082,2.72,12,217670.0,228543.0,1148.0,170312.0,New York Stock Exchange (NYSE),Industrial company,5.231245248961891,5.33779857726225,3.059941888061955,5.358967923906121
212,HASBRO INC,US050155090,17.28,1,4447509.0,4720717.0,5000.0,10883997.0,NASDAQ National Market,Industrial company,7.036788413401396,6.648116835597195,3.6989700043360187,6.674007965899948
213,"NORTEK, INC.",US050314991,8.149999999999999,8,2526100.0,2130400.0,11400.0,784362.0,NASDAQ National Market,Industrial company,5.89451654523278,6.402450538851364,4.056904851336473,6.328461153430885
214,TEXTRON INC,US050315468,17.65,1,13423000.0,14708000.0,35000.0,10280126.0,New York Stock Exchange (NYSE),Industrial company,7.011998437691297,7.127849590187638,4.544068044350276,7.1675536211968245
215,ASTRO MED INC,US050318215,1.67,10,94658.0,77963.0,329.0,108679.0,NASDAQ National Market,Industrial company,5.036145633642799,4.976157324153316,2.5171958979499744,4.891888542328319
217,UNITED NATURAL FOODS INC,US050376157,18.39,1,8184978.0,2550190.0,8700.0,1816987.0,NASDAQ National Market,Industrial company,6.259351820071677,6.913017516430741,3.9395192526186187,6.406572538425167
218,WASHINGTON TRUST BANCORP INC,US050404671,9.87,2,175000.0,,750.0,657873.0,NASDAQ National Market,Bank,5.818142062728493,5.243038048686294,2.8750612633917,
219,CITIZENS FINANCIAL GROUP INC,US050412693,15.48,1,3000000.0,,17500.0,12478643.0,New York Stock Exchange (NYSE),Bank,7.096167360213811,6.477121254719663,4.243038048686294,
220,KVH INDUSTRIES INC,US050420589,10.97,1,184634.0,226277.0,567.0,139914.0,NASDAQ National Market,Industrial company,5.145861172808793,5.266311678557361,2.7535830588929064,5.354640412192808
221,"BIOSCRIP, INC.",US050489664,10.65,4,982223.0,530642.0,1898.0,187770.0,NASDAQ National Market,Industrial company,5.273626206272959,5.992210099471958,3.278296208091274,5.724801621157739
222,CVS HEALTH CORPORATION,US050494040,16.7,1,153290000.0,92437000.0,243000.0,104115704.0,New York Stock Exchange (NYSE),Industrial company,8.01751624004049,8.185513824218539,5.385606273598312,7.965845842209628
224,MARTIN MIDSTREAM PARTNERS L.P.,US050527861,0.0,140,1036844.0,1380473.0,871.0,776818.0,NASDAQ National Market,Industrial company,5.890319280249723,6.015713418842625,2.9400181550076634,6.140027916903799
225,"PENUMBRA, INC.",US050605598,0.9,11,186095.0,263848.0,1100.0,1638564.0,New York Stock Exchange (NYSE),Industrial company,6.2144634089799276,5.2697347046644545,3.041392685158225,5.421353806520511
226,ACME UNITED CORP,US060236700,0.0,115,109812.0,81421.0,342.0,61329.0,NYSE MKT,Industrial company,4.787665883356618,5.040649801398411,2.534026106056135,4.910736432013104
227,BARNES GROUP INC,US060247840,17.39,1,1193975.0,2061866.0,4735.0,1781373.0,New York Stock Exchange (NYSE),Industrial company,6.2507548654940726,6.076995233430105,3.675319983339292,6.31426043720764
228,EASTERN COMPANY (THE),US060330020,0.37,24,144568.0,121739.0,911.0,101566.0,NASDAQ National Market,Industrial company,5.006748348857083,5.160072172893514,2.9595183769729982,5.085429730008861
229,HUBBELL INC,US060397030,15.69,1,3390400.0,3208700.0,16200.0,5862360.0,New York Stock Exchange (NYSE),Industrial company,6.768072484387794,6.530250939366719,4.209515014542631,6.506329114279958
231,ROGERS CORP,US060513860,18.99,1,641443.0,930355.0,2800.0,1184797.0,New York Stock Exchange (NYSE),Industrial company,6.073643945846461,5.807158070086913,3.4471580313422194,5.96864869599778
232,"STANLEY BLACK & DECKER, INC.",US060548860,18.98,1,11171800.0,15127800.0,51250.0,16990200.0,New York Stock Exchange (NYSE),Industrial company,7.230198491193068,7.048123152264032,4.709693869727792,7.179775774200908
233,UNITED TECHNOLOGIES CORPORATION,US060570975,23.94,1,56098000.0,87484000.0,197000.0,84322588.0,New York Stock Exchange (NYSE),Industrial company,7.925943927290565,7.7489473781109375,5.2944662261615925,7.941928631912614
234,KAMAN CORP,US060613548,18.65,1,1775125.0,1439611.0,5258.0,1148288.0,New York Stock Exchange (NYSE),Industrial company,6.06005082632357,6.249228940432702,3.720820581770344,6.158245156417279
235,FRONTIER COMMUNICATIONS CORPORATION,US060619596,20.04,1,5576000.0,27084000.0,19200.0,6041342.0,NASDAQ National Market,Industrial company,6.781133421809359,6.746322765089953,4.283301228703549,7.432712805125387
