Metropolitan areas	Year	CO2_PC	GDP_PC	GREEN_AREA_PC	LABOUR_PRODUCTIVITY	UNEMP_R
Brussels	2011		54172.54	294.12	134286.65	10.22
Brussels	2012		53207.53	291.17	131909.57	10.78
Brussels	2013		52807.0	288.23	132937.1	12.08
Brussels	2014			285.32		11.8
Antwerp	2000	16.03	42272.81	335.61	102277.45	4.22
Antwerp	2001		41680.25	333.46	104808.7	4.26
Antwerp	2002		42436.25	331.33	104610.84	4.89
Antwerp	2003		42291.13	329.2	105751.04	6.05
Antwerp	2004		43885.34	327.08	107917.44	5.18
Antwerp	2005	14.83	44921.77	324.97	107759.92	6.11
Antwerp	2006		45501.86	322.86	108769.66	5.62
Antwerp	2007		46547.9	320.77	108651.9	4.95
Antwerp	2008	15.13	46631.6	318.68	107952.77	4.52
Antwerp	2009		44422.34	316.61	104877.08	5.63
Antwerp	2010		45242.08	314.53	105221.06	6.0
Antwerp	2011		45946.48	312.47	108276.52	5.61
Antwerp	2012		46185.46	310.42	108777.97	5.2
Antwerp	2013		45941.89	308.38	108437.6	6.07
Antwerp	2014			306.34		5.99
Ghent	2000	19.0	31114.84	795.6	71244.67	3.14
Ghent	2001		31230.81	790.37	72403.44	3.63
Ghent	2002		31886.52	785.17	75992.99	5.62
Ghent	2003		32214.41	779.98	76323.43	5.06
Ghent	2004		33244.58	774.83	78378.3	4.05
Ghent	2005	17.15	33579.41	769.7	76828.41	4.95
Ghent	2006		34407.63	764.59	78925.81	4.53
Ghent	2007		35686.91	759.52	80836.41	4.82
Ghent	2008	17.18	35607.09	754.47	78595.35	3.62
Ghent	2009		34837.91	749.45	77699.23	4.2
Ghent	2010		35359.67	744.44	78871.26	5.25
Ghent	2011		35920.51	739.47	80581.39	3.76
Ghent	2012		35918.2	734.53	80700.22	4.12
Ghent	2013		35932.49	729.61	79998.13	4.0
Ghent	2014			724.71		4.29
Liege	2000	12.01	26891.51	514.58	72369.98	8.36
Liege	2001		26800.82	512.3	74063.43	9.38
Liege	2002		26776.11	510.03	75025.16	8.75
Liege	2003		26707.36	507.76	73417.5	9.57
Liege	2004		27450.48	505.49	77352.81	12.98
Liege	2005	11.33	27759.25	503.23	75417.33	11.92
Liege	2006		28477.22	500.98	76124.35	11.52
Liege	2007		29207.08	498.72	78642.8	10.85
Liege	2008	11.16	29585.34	496.48	78277.59	10.52
Liege	2009		28746.54	494.24	76322.3	12.11
Liege	2010		28992.95	492.0	77091.7	11.53
Liege	2011		29651.75	489.77	77809.04	9.48
Liege	2012		29355.16	487.55	77455.62	10.67
Liege	2013		29182.61	485.33	77406.12	11.65
Liege	2014			483.11		12.32
Belgium	2000	12.2	36021.95		89522.27	6.59
Belgium	2001		36268.68		92170.66	6.18
Belgium	2002		36668.85		93287.04	6.91
Belgium	2003		36830.36		94068.34	7.68
Belgium	2004		37946.72		95200.31	7.36
Belgium	2005	11.4	38482.41		94909.94	8.44
Belgium	2006		39248.34		96752.88	8.25
Belgium	2007		40146.53		97009.86	7.46
Belgium	2008	11.17	40216.49		96489.77	6.98
Belgium	2009		38849.36		94498.68	7.91
Belgium	2010		39502.05		95394.76	8.29
Belgium	2011		39741.07		96514.99	7.14
Belgium	2012		39473.28		96294.14	7.54
Belgium	2013		39354.91		96422.29	8.43
Belgium	2014					8.52
Canada	2000	18.36	36757.37		76417.28	6.83
Canada	2001		36974.48		76811.36	7.22
Canada	2002		37600.97		77109.66	7.66
Canada	2003		37981.88		76739.91	7.57
Canada	2004		38810.52		77884.43	7.19
Canada	2005	18.7	39660.2		79309.0	6.76
Canada	2006		40289.96		80035.64	6.32
Canada	2007		40702.43		79825.56	6.04
Canada	2008	16.77	40737.61		79620.06	6.14
Canada	2009		39181.87		78769.84	8.34
Canada	2010		40055.27		80291.58	8.06
Canada	2011		40835.65		81436.02	7.51
Canada	2012		41130.61		81969.04	7.29
Canada	2013		41474.72		82415.11	7.07
Canada	2014					6.91
Edmonton	2000	52.1	52271.8	6660.62	96703.31	5.47
Edmonton	2001		52781.83	6515.75	96782.2	5.01
Edmonton	2002		50831.22	6391.95	91960.51	5.24
Edmonton	2003		54570.86	6270.37	96808.28	4.96
Edmonton	2004		57915.61	6150.94	101696.21	4.77
Edmonton	2005	48.64	63809.59	6033.67	114261.64	4.48
Edmonton	2006		66337.73	5918.52	117353.89	3.84
Edmonton	2007		66526.26	5772.26	113588.46	3.82
Edmonton	2008	44.07	71263.74	5629.3	119751.52	3.73
Edmonton	2009		59473.17	5489.56	103005.95	6.62
Edmonton	2010		61957.94	5352.97	110431.74	6.86
Edmonton	2011		64821.06	5219.49	112011.63	5.38
Edmonton	2012		65926.15	5103.99	112113.87	4.57
Edmonton	2013		68085.56	4990.86	115199.6	4.76
Edmonton	2014			4880.08		5.01
Calgary	2000	13.94	52271.8	1530.55	89296.43	4.55
Calgary	2001		52781.83	1490.89	89157.58	4.61
Calgary	2002		50831.22	1452.53	86128.02	5.59
Calgary	2003		54570.86	1415.1	92310.29	5.29
Calgary	2004		57915.61	1378.56	97462.65	4.97
Calgary	2005	14.71	63809.59	1342.89	107515.53	3.94
Calgary	2006		66337.73	1308.08	106120.74	3.24
Calgary	2007		66526.26	1273.36	105757.52	3.21
Calgary	2008	13.84	71263.74	1239.44	112768.4	3.33
Calgary	2009		59473.17	1206.31	97846.21	6.59
Calgary	2010		61957.94	1173.95	105575.13	6.79
Calgary	2011		64821.06	1142.34	110259.74	5.76
Calgary	2012		65926.15	1111.87	109798.8	4.78
Calgary	2013		68085.56	1082.14	113151.95	4.76
Calgary	2014			1053.11		4.9
Winnipeg	2000	15.01	32565.67	5082.78	60491.28	5.2
Winnipeg	2001		32804.63	5037.09	60925.33	5.28
Winnipeg	2002		33538.21	5007.42	60985.66	5.27
Winnipeg	2003		33091.21	4977.79	60624.7	5.17
Winnipeg	2004		33888.21	4948.21	61399.84	5.48
Winnipeg	2005	14.54	34266.31	4918.66	62431.76	4.91
Winnipeg	2006		35951.43	4889.14	64918.44	4.55
Winnipeg	2007		36706.41	4829.9	66018.59	4.64
Winnipeg	2008	13.41	36765.12	4771.18	66412.92	4.37
Winnipeg	2009		36174.94	4713.02	66402.32	5.42
Winnipeg	2010		36342.14	4655.38	66688.84	5.78
Winnipeg	2011		36563.03	4598.28	67906.41	5.81
Winnipeg	2012		37838.9	4556.14	69167.53	5.55
Winnipeg	2013		38340.02	4514.29	70311.82	5.82
Winnipeg	2014			4472.74		5.75
Vancouver	2000	14.62	35954.45	124.0	68700.84	6.11
Vancouver	2001		35500.32	122.03	68389.78	6.69
Vancouver	2002		35922.09	120.46	68135.98	7.79
Vancouver	2003		36390.39	118.91	68196.23	7.24
Vancouver	2004		37843.32	117.38	71201.99	6.76
Vancouver	2005	14.31	39125.57	115.86	72951.97	5.69
Vancouver	2006		40562.57	114.35	75087.73	4.47
Vancouver	2007		40791.22	112.14	74549.11	4.03
Vancouver	2008	13.44	39976.64	109.97	73390.94	4.22
Vancouver	2009		38614.54	107.83	73266.57	7.31
Vancouver	2010		38896.62	105.73	74309.21	7.5
Vancouver	2011		39060.28	103.66	74946.22	7.41
Vancouver	2012		38851.86	101.95	74395.14	6.88
Vancouver	2013		39010.12	100.26	75714.26	6.71
Vancouver	2014			98.6		5.95
Quebec	2000	15.35	33577.42	1886.12	70432.97	8.19
Quebec	2001		33816.42	1863.74	69373.91	8.03
Quebec	2002		34620.72	1849.13	66892.14	6.62
Quebec	2003		34628.22	1834.58	66652.03	7.05
Quebec	2004		34783.06	1820.09	66525.64	5.94
Quebec	2005	15.32	34506.33	1805.66	64422.19	5.9
Quebec	2006		34530.41	1791.28	65265.25	5.64
Quebec	2007		34758.36	1762.47	64948.49	5.2
Quebec	2008	14.21	33881.79	1733.98	63069.27	4.55
Quebec	2009		34408.84	1705.81	65004.49	5.57
Quebec	2010		34588.1	1677.97	64189.17	5.27
Quebec	2011		34628.41	1650.44	63921.95	5.66
Quebec	2012		34885.13	1630.11	64381.83	5.34
Quebec	2013		34545.83	1609.97	64530.8	5.15
Quebec	2014			1590.0		5.47
Montreal	2000	14.94	33577.42	847.75	68053.05	8.18
Montreal	2001		33816.42	837.79	68280.96	8.52
Montreal	2002		34620.72	828.58	68210.79	8.79
Montreal	2003		34628.22	819.39	68036.29	9.56
Montreal	2004		34783.06	810.2	68033.79	8.73
Montreal	2005	14.15	34506.33	801.01	67953.19	8.79
Montreal	2006		34530.41	791.84	67860.48	8.54
Montreal	2007		34758.36	781.48	67139.21	7.34
Montreal	2008	13.02	33881.79	771.17	65746.7	7.65
Montreal	2009		34408.84	760.93	68323.22	9.37
Montreal	2010		34588.1	750.74	67637.95	8.66
Montreal	2011		34628.41	740.61	68545.26	8.49
Montreal	2012		34885.13	731.14	68823.38	8.41
Montreal	2013		34545.83	721.72	67402.96	8.06
Montreal	2014			712.34		8.2
Ottawa-Gatineau	2000	13.63	39537.46	4746.3	76192.43	6.14
Ottawa-Gatineau	2001		39820.15	4676.91	75253.9	6.6
Ottawa-Gatineau	2002		40882.62	4626.72	77527.71	7.5
Ottawa-Gatineau	2003		40411.44	4576.86	74326.39	7.04
Ottawa-Gatineau	2004		40534.74	4527.34	75578.78	6.8
Ottawa-Gatineau	2005	13.23	40366.53	4478.14	74689.84	6.77
Ottawa-Gatineau	2006		40308.46	4429.28	73307.52	5.66
Ottawa-Gatineau	2007		40212.49	4347.05	72517.47	5.78
Ottawa-Gatineau	2008	12.48	38732.07	4266.22	68262.14	5.21
Ottawa-Gatineau	2009		38661.45	4186.77	70598.66	6.33
Ottawa-Gatineau	2010		39189.63	4108.65	71939.89	7.02
Ottawa-Gatineau	2011		39141.2	4031.9	72586.79	6.79
Ottawa-Gatineau	2012		39270.64	3972.05	72355.37	6.45
Ottawa-Gatineau	2013		39040.57	3912.99	74041.46	6.52
Ottawa-Gatineau	2014			3854.73		6.8
Toronto	2000	16.6	41384.55	1682.27	79279.37	5.48
Toronto	2001		41687.08	1654.19	78792.48	6.25
Toronto	2002		42843.24	1625.97	80657.09	7.21
Toronto	2003		42234.86	1597.58	78735.93	7.4
Toronto	2004		42361.08	1569.03	78985.97	7.19
Toronto	2005	15.86	42240.73	1540.32	78898.34	6.92
Toronto	2006		42169.91	1511.47	79465.41	6.52
Toronto	2007		41969.62	1484.44	78868.1	6.7
Toronto	2008	14.82	40294.83	1457.64	76045.43	6.85
Toronto	2009		40031.85	1431.05	78588.0	9.54
Toronto	2010		40672.78	1404.68	79440.04	9.15
Toronto	2011		40596.11	1378.52	79534.03	8.33
Toronto	2012		40689.96	1351.5	80498.43	8.61
Toronto	2013		40500.92	1324.59	78624.42	8.06
Toronto	2014			1297.8		7.88
Hamilton	2000	45.71	41384.55	3093.74	70931.26	5.78
Hamilton	2001		41687.08	3070.52	72171.95	6.25
Hamilton	2002		42843.24	3051.41	74230.63	7.13
Hamilton	2003		42234.86	3032.37	70615.75	6.43
Hamilton	2004		42361.08	3013.43	70698.11	6.65
Hamilton	2005	39.32	42240.73	2994.55	70831.32	6.21
Hamilton	2006		42169.91	2975.75	70892.92	6.17
Hamilton	2007		41969.62	2949.49	70266.87	6.23
Hamilton	2008	36.64	40294.83	2923.47	67320.99	6.57
Hamilton	2009		40031.85	2897.66	68952.0	9.25
Hamilton	2010		40672.78	2872.08	70197.32	8.39
Hamilton	2011		40596.11	2846.72	68976.2	7.27
Hamilton	2012		40689.96	2825.17	69118.77	7.25
Hamilton	2013		40500.92	2803.75	70106.33	7.15
Hamilton	2014			2782.48		6.55
Zurich	2000	6.51		300.4		
Zurich	2001			298.11		
Zurich	2002			295.82		
Zurich	2003			293.54		
Zurich	2004			291.25		
Zurich	2005	6.76		288.97		
Zurich	2006			286.69		
Zurich	2007			284.41		
Zurich	2008	6.7	63433.63	282.14		
Zurich	2009		61483.26	279.87		
Zurich	2010		61496.19	277.6	109240.83	3.51
Zurich	2011		62259.02	275.33	111263.99	3.88
Zurich	2012		62798.23	273.06	112250.18	4.32
Zurich	2013			270.8		4.19
Zurich	2014			268.55		
Geneva	2000	4.93		799.84		
Geneva	2001			790.51		
Geneva	2002			781.01		
Geneva	2003			771.38		
Geneva	2004			761.65		
Geneva	2005	4.86		751.85		
Geneva	2006			742.01		
Geneva	2007			732.12		
Geneva	2008	4.71	55902.88	722.24		
Geneva	2009		53458.06	712.36		
Geneva	2010		54529.92	702.47	121531.24	8.52
Geneva	2011		54571.0	692.63	124245.24	8.67
Geneva	2012		54351.89	682.8	124256.15	9.06
Geneva	2013			673.0		8.68
Geneva	2014			663.25		
Basel	2000	5.46		389.58		
Basel	2001			388.04		
Basel	2002			386.49		
Basel	2003			384.93		
Basel	2004			383.36		
Basel	2005	5.53		381.79		
Basel	2006			380.21		
Basel	2007			378.62		
Basel	2008	5.36	53209.47	377.03		
Basel	2009		51738.68	375.42		
Basel	2010		52566.46	373.81	107243.45	5.1
Basel	2011		53591.75	372.19	107931.92	5.15
Basel	2012		53502.23	370.56	108132.29	5.23
Basel	2013			368.93		5.24
Basel	2014			367.29		
Switzerland	2000	6.2				2.66
Switzerland	2001					2.49
Switzerland	2002					2.92
Switzerland	2003					4.12
Switzerland	2004					4.32
Switzerland	2005	6.34				4.44
Switzerland	2006					4.0
Switzerland	2007					3.65
Switzerland	2008	6.26	52485.98		94247.07	3.35
Switzerland	2009		50645.5		91392.77	4.12
Switzerland	2010		51579.26		93817.58	4.54
Switzerland	2011		51947.4		93631.59	4.04
Switzerland	2012		51965.46		93774.56	4.19
Switzerland	2013					4.39
Switzerland	2014					4.54
Chile	2000	3.77	13427.21		38216.38	9.73
Chile	2001		13711.15		39021.24	9.85
Chile	2002		13924.48		39341.85	9.79
Chile	2003		14291.93		39319.75	9.53
Chile	2004		15129.4		40974.22	10.03
Chile	2005	4.03	15892.17		41892.3	9.23
Chile	2006		16628.06		43548.63	7.82
Chile	2007		17311.96		44553.81	7.12
Chile	2008	4.31	17687.35		44541.23	7.81
Chile	2009		17331.44		44493.27	9.69
Chile	2010		18156.96		43528.0	8.14
Chile	2011		19046.52		43878.49	7.12
Chile	2012		19907.37		45430.17	6.43
Chile	2013		20567.89		46377.06	5.93
Chile	2014					6.39
Valparaíso	2000	2.2	12097.19	4.11	34006.98	12.32
Valparaíso	2001		12212.52	4.05	35175.58	13.3
Valparaíso	2002		12439.61	4.0	35763.0	14.99
Valparaíso	2003		12574.39	3.95	35734.46	14.3
Valparaíso	2004		13328.44	3.9	37113.86	14.42
Valparaíso	2005	2.35	13965.29	3.85	37037.2	13.5
Valparaíso	2006		14796.41	3.79	38027.43	8.64
Valparaíso	2007		14812.61	3.75	37542.67	7.78
Valparaíso	2008	2.16	15373.19	3.7	38615.5	10.07
Valparaíso	2009		14925.79	3.65	37562.27	11.18
Valparaíso	2010		15794.76	3.6	37103.73	9.71
Valparaíso	2011		16488.24	3.55	36920.08	8.43
Valparaíso	2012		17416.16	3.5	39123.22	7.3
Valparaíso	2013		18196.86	3.46	41190.91	6.95
Valparaíso	2014			3.41		7.26
Santiago	2000	3.11	15859.16	20.02	40473.48	10.28
Santiago	2001		16022.11	19.86	40346.85	9.27
Santiago	2002		16376.12	19.69	41220.66	8.85
Santiago	2003		16804.55	19.53	41213.71	9.18
Santiago	2004		17916.03	19.35	42913.3	10.17
Santiago	2005	3.22	19019.46	19.18	44075.86	8.73
Santiago	2006		19937.13	19.0	47096.92	7.79
Santiago	2007		21140.42	18.82	48660.83	7.21
Santiago	2008	3.42	21798.27	18.64	48527.12	7.93
Santiago	2009		21601.92	18.45	48997.5	9.84
Santiago	2010		21815.31	18.26	47509.91	8.15
Santiago	2011		23188.1	18.07	48428.49	7.13
Santiago	2012		25175.5	17.88	53175.41	6.55
Santiago	2013		26321.75	17.68	55017.12	5.74
Santiago	2014			17.48		6.43
Concepción	2000	3.35	8945.5	7.23	26916.76	10.54
Concepción	2001		9022.04	7.19	27064.78	11.93
Concepción	2002		9578.69	7.15	28111.88	11.25
Concepción	2003		9982.33	7.11	28668.68	9.83
Concepción	2004		10649.44	7.06	30377.7	10.32
Concepción	2005	3.39	11456.93	7.02	32139.08	11.32
Concepción	2006		11935.01	6.97	32644.66	10.12
Concepción	2007		12199.45	6.93	33806.37	8.46
Concepción	2008	3.17	12315.13	6.88	34148.86	8.74
Concepción	2009		12002.16	6.83	33513.96	11.24
Concepción	2010		11575.03	6.78	28526.6	9.16
Concepción	2011		12757.72	6.73	30422.59	8.3
Concepción	2012		12676.58	6.68	29723.78	8.12
Concepción	2013		12926.44	6.62	30502.29	7.62
Concepción	2014			6.57		8.11
Prague	2000	15.19	34351.01	302.48	67398.44	5.15
Prague	2001		35640.65	299.9	70560.93	4.69
Prague	2002		36392.18	297.31	71779.62	4.02
Prague	2003		38048.64	294.69	75649.74	4.48
Prague	2004		39740.63	292.05	80198.09	4.34
Prague	2005	13.93	42370.04	289.39	84611.64	4.03
Prague	2006		45359.56	286.7	89285.21	3.33
Prague	2007		48436.5	283.99	94723.48	2.73
Prague	2008	13.04	50014.62	281.25	96247.48	2.12
Prague	2009		46923.81	278.48	89526.24	3.47
Prague	2010		47763.9	275.68	92121.96	4.21
Prague	2011		47307.83	272.84	93712.75	4.07
Prague	2012		46255.23	269.96	90542.61	3.62
Prague	2013		46093.65	267.03	90691.01	3.81
Prague	2014			264.05		
Brno	2000	8.65	18425.34	455.52	39825.31	8.27
Brno	2001		18993.82	454.56	42161.95	8.53
Brno	2002		19224.41	453.57	42614.62	7.58
Brno	2003		20036.47	452.56	44463.67	8.01
Brno	2004		20771.0	451.53	46142.75	8.32
Brno	2005	8.16	21889.42	450.46	48234.68	8.07
Brno	2006		23372.9	449.38	51378.67	7.93
Brno	2007		24920.44	448.26	53158.67	5.42
Brno	2008	7.76	26244.45	447.12	55552.4	4.38
Brno	2009		24965.0	445.95	53653.73	6.83
Brno	2010		25548.77	444.75	54781.93	7.7
Brno	2011		26236.2	443.52	56156.43	7.49
Brno	2012		26651.76	442.27	56719.98	8.08
Brno	2013		27275.75	440.98	56198.94	6.8
Brno	2014			439.66		
Ostrava	2000	10.51	15642.49	486.16	37482.3	14.34
Ostrava	2001		16134.48	486.95	38784.19	14.3
Ostrava	2002		16290.42	487.73	38496.46	13.31
Ostrava	2003		16797.7	488.51	40567.84	14.75
Ostrava	2004		18545.61	489.27	44871.61	14.55
Ostrava	2005	10.1	20405.56	490.03	48124.45	13.89
Ostrava	2006		21250.16	490.78	49934.94	11.98
Ostrava	2007		22467.26	491.52	51171.62	8.48
Ostrava	2008	9.32	23194.93	492.25	51341.52	7.38
Ostrava	2009		21286.99	492.97	48012.37	9.67
